CRN1,SUBJECT,COURSE_TITLE,PROF,MEET_DAYS,CLASS_TIME,ROOM,MAX_ENROLL,CURR_ENROLL,OPEN_SEATS,REQUIREMENT,NOTES
60108,CHE 374-0,Medicinal Chemistry,Stevens E, M  W  F ,1050 - 1140am, ,12,0,12,NONE,"PRQ,O"
60109,CHE 430-0,Enzyme Engineering,Key H,  T  R  ,0950 - 1105am,WALL 307,12,0,12,NONE,"XLST,H"
60110,CHI 102-A,Elementary Chinese II,Tsai M, M  W  F ,1050 - 1140am,CHAM 1046,18,0,18,NONE,H
60111,CHI 102-B,Elementary Chinese II,Tsai M, M  W  F ,1200 - 1250pm,CHAM 1046,18,0,18,NONE,H
60112,CHI 122-0,Intro Chinese Visual Culture,Kyo R, M  W   ,0730 - 0845pm, ,30,0,30,CULT VPRQ,O
60113,CHI 202-0,Intermediate Chinese II,Shao P, M  W  F ,0940 - 1030am,CHAM 1045,12,0,12,FRLG,"PRQ,H"
60114,CHI 225-0,Crime & Detective Lit (transl),Shao P, M  W  F ,0110 - 0200pm, ,30,0,30,CULT,O
60115,CHI 302-0,Advanced Chinese II,Shen V,      ,TBA , ,12,0,12,FRLG,"PRQ,O"
60116,CHI 350-0,Advanced Reading & Writing,Tsai M, M  W  F ,0220 - 0310pm,DANA 153,12,0,12,FRLG,"PRQ,H"
60117,CHI 405-0,Chinese Cinema&Mod Lit(transl),Shen V,   W   ,0110 - 0400pm, ,15,0,15,CULT,"PRQ,O"
60575,CHI 451-0,Advanced Chinese,Shen V,      ,TBA , ,12,0,12,FRLG,"PRQ,O"
60119,CIS 140-0,Global Jews: An Introduction,Neuman T,  T  R  ,0245 - 0400pm, ,20,0,20,CULT SSRQ,O
60120,CIS 495-0,Thesis I/Capstone,Mangan J,      ,TBA , ,5,0,5,NONE,PRM
60121,CIS 496-0,Thesis II,Mangan J,      ,TBA , ,25,0,25,NONE,4
60122,CLA 142-0,Roman Art & Archaeology,Toumazou M, M  W  F ,0110 - 0200pm, ,30,0,30,VPRQ,O
60123,CLA 224-0,Medical Etymology,Neumann J, M  W  F ,0830 - 0920am,CHAM HANCE,20,0,20,NONE,H
60124,CLA 250-0,Classical Mythology,Neumann J,  T  R  ,0950 - 1105am,CHAM 2106,20,0,20,NONE,H
60125,CLA 277-0,Rome and Carthage,Truetzel A,  T  R  ,1135 - 1250pm, ,30,0,30,HTRQ,O
60126,COM 101-A,Princ of Oral Communication,Fallah A, M  W  F ,1050 - 1140am, ,16,0,16,LTRQ,O
60127,COM 101-B,Princ of Oral Communication,Spikes A,  T  R  ,0815 - 0930am, ,16,0,16,LTRQ,O
60128,COM 101-C,Princ of Oral Communication,Spikes A,  T  R  ,0950 - 1105am, ,16,0,16,LTRQ,O
60129,COM 210-0,Dialogues on Race and Racism,Martinez A, M  W   ,0220 - 0335pm, ,20,0,20,JEC SSRQ,"PRM,O"
60130,COM 273-0,Reporting Politics & Elections,Bailey I,  T  R  ,0245 - 0400pm,CHAM 1111,30,0,30,JEC LTRQ,H
